,Name,Sex,Abdominal_pain,Abdominal_distention_left_side,Anemia,Anorexia,Blood_in_feaces,Blood_in_urine,Blood_leakage_from_natural_holes_of_dead_animal,Bottle_jaw,Change_in_diet,Changed_milk_taste,Circling,Cough,Constipation,Crepitation,Depression,Dehydration,Dental_pad,Diarrhea,Difficult_movement,Dog_bite,Dyspnea,Eat_cloth_bones,Emaciation,Enlarged_lymph_nodes,Excitements,Facial_distortion,Faulty_drenching,Feet_foul_odor,Feet_lesions,Fever,Gas_accumulation,Hair_loss,Hard_feaces,Hard_Tongue,Head_pressing,Increased_heart_rate,Itching,Itching_in_Nose,Knee_swelling,Lameness,Lose_feaces,Milk_abnormalities,Milk_reduction,Mouth_discharge,Mouth_frothing,Mouth_lesions,Moving_in_circle,Nasal_discharge,Neck_swelling,Necrotic_stomatitis,Ocular_discharge,Oculonasal_discharge,Off_feed,Overfeeding,Paralysis,Pica,Phoyophia,Poor_growth,Pox_lesion,Red_moist_feet,Respiratory_distress,Restlessness,Ruptured_Lymph_Nodes,Salivation,Severe_itching,Skin_lesion_red,Skin_lesion,Sneezing,Subnormal_temperature,Sudden_death,Swollen_joints,Swollen_Jaw,Tachypnea,Teat_hole_blockage,Teats_inflammation,Teats_lesions,Temperature_fluctuation,Ticks_presence,Tick_worry,Tremors,Udder_infection,Udder_inflammation,Udder_lesion,Unable_to_stand,Uncoordinated_movements,Urine_block,Vaginal_infection,Vaginal_discharge,Wasting,Weakness,Weight_loss,Wheezes,Worms_in_feaces,Wounded,Yellow_eyes,Yellow_mucous_membrane,DiseaseName.1
32,Buffalo,Male,,,Anemia,,,,,,,,,,,,,,,,,,,,,,,,,,,Fever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uncoordinated movements,,,,,,Weight loss,,,,,,Anaplasmosis
93,Buffalo,Female,,,Anemia,,,,,,,,,,,,,,,,,,,,,,,,,,,Fever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salivation or Excessive salivation,,,,,,,,,,,,,,,,,,,,,Uncoordinated movements,,,,,,Weight loss,,,,,,Anaplasmosis
217,Cattle,Male,,,Anemia,,,,,,,,,,,,,,,,,,,,,,,,,,,Fever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uncoordinated movements,,,,,,Weight loss,,,,,,Anaplasmosis
309,Cattle,Female,,,Anemia,,,,,,,,,,,,,,,,,,,,,,,,,,,Fever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salivation or Excessive salivation,,,,,,,,,,,,,,,,,,,,,,,,,,,Weight loss,,,,,,Anaplasmosis
418,Goat,Male,,,Anemia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salivation or Excessive salivation,,,,,,,,,,,,,,,,,,,,,Uncoordinated movements,,,,,,Weight loss,,,,,,Anaplasmosis
614,Goat,Female,,,Anemia,,,,,,,,,,,,,,,,,,,,,,,,,,,Fever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uncoordinated movements,,,,,,Weight loss,,,,,,Anaplasmosis
739,Sheep,Male,,,Anemia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salivation or Excessive salivation,,,,,,,,,,,,,,,,,,,,,Uncoordinated movements,,,,,,Weight loss,,,,,,Anaplasmosis
791,Sheep,Female,,,Anemia,,,,,,,,,,,,,,,,,,,,,,,,,,,Fever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salivation or Excessive salivation,,,,,,,,,,,,,,,,,,,,,,,,,,,Weight loss,,,,,,Anaplasmosis
,Buffalo,Male,,,,0.9,,,0.9,,,,,,,,0.9,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,Anaplasmosis
,Buffalo,Female,,,,0.9,0.9,0.9,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,0.9,0.9,,,,,,Anaplasmosis
0,Buffalo,Male,Abdominal Pain,,,,,,Blood leakage from natural holes of dead animal,,,,,,,,,,,,,,,,,,,,,,,Fever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sudden death,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthrax
1,Buffalo,Male,,,,,,,Blood leakage from natural holes of dead animal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mouth frothing,,,,,,,,,,,,,,,,,,,,,,,,,Sudden death,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthrax
33,Buffalo,Male,,,,,,,Blood leakage from natural holes of dead animal,,,,,,,Crepitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sudden death,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthrax
55,Buffalo,Female,,,,,,,Blood leakage from natural holes of dead animal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sudden death,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthrax
56,Buffalo,Female,,,,,,,Blood leakage from natural holes of dead animal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Respiratory distress,,,,,,,,,Sudden death,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthrax
95,Buffalo,Female,,,,,,,Blood leakage from natural holes of dead animal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mouth frothing,,,,,,,,,,,,,,,,,,,,,,,,,Sudden death,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthrax
218,Cattle,Male,,,,,,,Blood leakage from natural holes of dead animal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sudden death,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthrax
253,Cattle,Male,,,,,,,Blood leakage from natural holes of dead animal,,,,,,,,,,,,,,,,,,,,,,,Fever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sudden death,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthrax
310,Cattle,Female,,,,,,,Blood leakage from natural holes of dead animal,,,,,,,,,,,,,,,,,,,,,,,Fever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sudden death,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthrax
,Cattle,Female,,,,,,,0.9,,,,,,,,0.9,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthrax
